Month,Years,Forward_Rate,MC_Mean,MC_Std,MC_P05,MC_P25,MC_P50,MC_P75,MC_P95
97,8.083333333333334,4.554351492313994,4.727510335089321,2.057729593138891,1.3492423083449245,3.294695361282006,4.711409136556075,6.1346152207921385,8.167814677131405
98,8.166666666666666,4.554351492314031,4.738844032248596,2.064147674718635,1.2927356647279096,3.2783946075133894,4.746671824222169,6.155192590494217,8.199482678902543
99,8.25,4.554351492314003,4.739362162356174,2.077432933170199,1.3278559339398355,3.275177226980712,4.7309682216064335,6.1478669940202355,8.183332670868856
100,8.333333333333334,4.554351492314038,4.74179182820143,2.09499363171229,1.3391923770633263,3.2725366383313856,4.747030686651671,6.151514208981865,8.215999933435729
101,8.416666666666666,4.554351492314003,4.7469033811426335,2.107420695911808,1.279034165615953,3.242660728374806,4.736646619627356,6.191266166847811,8.219461553493565
102,8.5,4.554351492314003,4.749454345178873,2.111820072445977,1.2566940444428272,3.2553234653768706,4.7486279056463365,6.203016540990499,8.246334413730452
103,8.583333333333334,4.554351492314038,4.750641597492342,2.1232725297497286,1.1846973573788124,3.2802409588516297,4.742542808169949,6.189665538363833,8.304197961805968
104,8.666666666666666,4.554351492314057,4.756310251124315,2.135108194465168,1.2361752393149203,3.258050730752444,4.744038713394994,6.217701995676189,8.34803237942974
105,8.75,4.554351492314031,4.763182552657411,2.142432434626984,1.1849666077972798,3.280367294712736,4.73417660865134,6.258861185654673,8.31066444236468
106,8.833333333333334,4.554351492314064,4.764898575321345,2.1532503555834905,1.1455189212389878,3.2538543844033723,4.7605564908224824,6.247377934876606,8.308262580955446
107,8.916666666666666,4.554351492314057,4.771871324754969,2.162532019434609,1.1601626835794319,3.254753449316359,4.776922566933686,6.261824305613664,8.317492277909674
108,9.0,4.554351492314057,4.776924098165943,2.1667863459981893,1.1738750454163838,3.269226451025787,4.7523693702688705,6.262595318509964,8.326149472714564
109,9.083333333333334,4.554351492314011,4.77903193807497,2.1764847481855085,1.1930460866435308,3.2592032701135456,4.758197737870873,6.249742965155834,8.406911507738728
110,9.166666666666666,4.554351492314031,4.787147324123843,2.185751557991477,1.1645939690169667,3.253858249133295,4.753231876718236,6.258528758732114,8.387114112264884
111,9.25,4.554351492314031,4.792358056577999,2.1996118583962914,1.1140016542809235,3.24036228135386,4.7596480887304,6.290798484702938,8.449072524471559
112,9.333333333333334,4.554351492314038,4.7977703271241685,2.2097133545383274,1.13091166689989,3.2529259420224244,4.759471878865982,6.323370259742478,8.497915289000467
113,9.416666666666666,4.554351492314031,4.79938465262868,2.216191513611974,1.1155950911192232,3.228411835820129,4.7529618114848295,6.307357503667216,8.53189284493042
114,9.5,4.554351492314057,4.809848226921548,2.224901930057906,1.109501232489882,3.2193528554615853,4.791560902634852,6.317631454075695,8.486994879617155
115,9.583333333333334,4.554351492314038,4.817620102917836,2.2341369937256568,1.138878842442078,3.2513194668062546,4.790426233002802,6.3302771258069805,8.608765820341876
116,9.666666666666666,4.554351492314031,4.823351318709987,2.242051635457385,1.141565316957738,3.239862359944036,4.811856156582356,6.350202605096856,8.627607172623607
117,9.75,4.554351492314057,4.822997204936369,2.2511203549616576,1.1267177685676426,3.221731538945555,4.815455447274214,6.328416922251249,8.648550651879805
118,9.833333333333334,4.668291493254713,4.881275837902917,2.255525659250259,1.201188204626933,3.27530640088457,4.9017954984635255,6.434103269814306,8.63542721386486
119,9.916666666666666,4.782231494195435,4.999026761554348,2.260559710555426,1.2941673109388314,3.3823596448419306,4.984461896130236,6.5377100364256115,8.728762236082051
120,10.0,4.896171495136137,5.115642161230671,2.2724835854641743,1.3952648508293386,3.4993862391784605,5.102529144711735,6.6906331932121645,8.869504445177778
121,10.083333333333334,5.010111496076872,5.237564272768309,2.281918294341538,1.4706118337849503,3.598011235656577,5.224297960425014,6.823374319665203,9.009485502554714
122,10.166666666666666,5.124051497017569,5.353496510108157,2.292180272653165,1.5821882819967468,3.708928660588677,5.322590835620472,6.949707736675862,9.151440290468708
123,10.25,5.124051497017596,5.410447440255495,2.3050062722189777,1.6727598510353034,3.785612773235203,5.376676287759007,7.002616971302516,9.211891451094921
124,10.333333333333334,5.1240514970175735,5.419651066658808,2.316709887346764,1.6706993318245649,3.789273765029866,5.368029329633579,7.057934441985797,9.308582543955543
125,10.416666666666666,5.124051497017596,5.433849791921521,2.3310010593192323,1.6514266346687825,3.760235275403232,5.387906055498232,7.075897740864885,9.30618445538564
126,10.5,5.124051497017569,5.434344526464738,2.3340708644329706,1.650266280496486,3.7641926484982413,5.407320053744932,7.065848384154812,9.266482003626884
127,10.583333333333334,5.124051497017574,5.441184843162454,2.3438047568503007,1.6556476064260195,3.757236362562555,5.416745308995275,7.07690487081587,9.339206984647321
128,10.666666666666666,5.124051497017569,5.45286874954472,2.3514349461945314,1.613091231164895,3.7649549018059925,5.446665390924032,7.0880711746137885,9.35616595294067
129,10.75,5.124051497017596,5.456127334342412,2.3639676102794165,1.5623750254370452,3.7387000696535577,5.446892373004278,7.118392067671497,9.368296671407386
130,10.833333333333334,5.124051497017547,5.459435503546816,2.3684154181858785,1.5738430004838888,3.750365055832303,5.452324921036906,7.132768492439176,9.403241470154281
131,10.916666666666666,5.124051497017569,5.462452812995727,2.377261543839657,1.5474436816709247,3.7657961095441936,5.456558449282458,7.112655447981801,9.391548963647011
132,11.0,5.124051497017569,5.471473020087632,2.3852808363403204,1.5495650405022756,3.7644519623100545,5.448570032773626,7.143924792397143,9.368679487788253
133,11.083333333333334,5.124051497017574,5.47969771116185,2.392885145029495,1.5495080804304113,3.786133278647134,5.465880350042613,7.1610573714892904,9.417204734569228
134,11.166666666666666,5.124051497017542,5.485002189438435,2.4063559190902724,1.5110220265380214,3.7648510796607084,5.457542851057038,7.1840116135755725,9.397663798707168
135,11.25,5.124051497017542,5.494096584114323,2.413916475260473,1.5416434196740076,3.7607990439794645,5.471084854067847,7.18889244915468,9.459793808615572
136,11.333333333333334,5.124051497017547,5.497439943924027,2.4236014144837474,1.5273616196765647,3.758269936228392,5.483973011149946,7.192596155264991,9.460049562523471
137,11.416666666666666,5.124051497017514,5.506670480923379,2.4317471826183863,1.4701399802324193,3.771335136190407,5.483421472525309,7.207623264908,9.503471449141031
138,11.5,5.1240514970175415,5.518341870464817,2.437797511731806,1.4857855171968777,3.7668439010205548,5.493767261142267,7.219414260005551,9.510065776143655
139,11.583333333333334,5.124051497017519,5.521164770194433,2.450326010177326,1.4533750041628415,3.7905143542741646,5.501393363602085,7.2177452441520975,9.516732321730832
140,11.666666666666666,5.1240514970175415,5.52297895216749,2.456493338512285,1.4777506035311623,3.7664187436504943,5.526479925141195,7.239255055132319,9.535335820286205
141,11.75,5.124051497017514,5.534030530519699,2.4651883905464675,1.4724024247427796,3.7778357116287506,5.504522505720518,7.243086458970549,9.627797673405354
142,11.833333333333334,5.124051497017547,5.541371713486412,2.4625479283396965,1.471315665484383,3.794545135378359,5.516075721954855,7.242969729939885,9.559704386971934
143,11.916666666666666,5.124051497017542,5.550220214177096,2.472122714151439,1.4317237480195966,3.7670559739856238,5.576192287648146,7.234068546884805,9.601205352552162
144,12.0,5.124051497017569,5.563156377802183,2.4747620553211305,1.4643908155642271,3.7911355020058073,5.561953191623119,7.2366362792139896,9.659343159849106
145,12.083333333333334,5.124051497017574,5.563310352247604,2.4753766725606416,1.4774121565287728,3.7524345675000577,5.552250275642661,7.245241508112973,9.672419412974918
146,12.166666666666666,5.1240514970175965,5.573250971004386,2.486345187178596,1.4760786795908616,3.772336735254912,5.562665591272236,7.257727074765024,9.71487742750576
147,12.25,5.124051497017623,5.574014469091799,2.4979028226077356,1.47195818889819,3.762937349204301,5.581860258634171,7.296222701953946,9.690685211680155
148,12.333333333333334,5.124051497017574,5.575823596424308,2.5140013931901177,1.4497246780077528,3.7491201555546776,5.572544424325237,7.290232047342767,9.740592299889254
149,12.416666666666666,5.1240514970175965,5.581462649203843,2.5246391414202103,1.42819486174558,3.7849319391136476,5.570060356664319,7.320117000076934,9.771949383313972
150,12.5,5.12405149701757,5.589088857267745,2.5333797959616855,1.4291735991759806,3.7907900790862885,5.596482990622342,7.3357537622522635,9.807360830267346
151,12.583333333333334,5.124051497017574,5.5893576195580525,2.535819881702966,1.4205566577177735,3.7996128273331693,5.568823964445162,7.353172347592027,9.822494170508797
152,12.666666666666666,5.124051497017542,5.594537329340725,2.541000579418052,1.4065089306548457,3.778933786516277,5.5874702919264605,7.322414286194285,9.883268186194076
153,12.75,5.124051497017569,5.601010832139579,2.5473013872102985,1.4220129597013207,3.814685744648712,5.579298780705324,7.327021070366095,9.876624100168689
154,12.833333333333334,5.124051497017547,5.609251582511526,2.5533988065663658,1.3839358397024635,3.817381773439527,5.601121687182941,7.355726828807796,9.917929788327614
155,12.916666666666666,5.124051497017596,5.621233937123735,2.5588563989696502,1.3479156421298186,3.8342869170067484,5.602381322630494,7.368794108903772,9.938886329123491
156,13.0,5.124051497017569,5.6257060956279625,2.5635461746203934,1.4055590537974683,3.815263176229396,5.612063731768361,7.367675108758194,9.896904605712479
157,13.083333333333334,5.124051497017547,5.634422390268612,2.5706662674661813,1.4510464739871256,3.782326690755946,5.58626404339084,7.375306405016629,9.950083530905092
158,13.166666666666666,5.124051497017569,5.645469193850561,2.5759106715034825,1.431704338958102,3.829785838339482,5.624564423579974,7.412893640435509,9.931936291722174
159,13.25,5.124051497017569,5.651941508035168,2.5803537569935395,1.4295175050911522,3.8302233097236993,5.616124917961065,7.4251179069142665,9.973041215960574
160,13.333333333333334,5.12405149701752,5.660429221269294,2.584361396270083,1.38121902061154,3.8311756360428793,5.6069852507498945,7.437134930759844,10.01391151731909
161,13.416666666666666,5.124051497017542,5.664613557044427,2.591365606196116,1.4052972269800372,3.82272365237281,5.606347005225119,7.451704151854395,9.996873599740944
162,13.5,5.124051497017569,5.6710429891204726,2.6017496575374293,1.4076719669928968,3.8217133780222095,5.579570334084965,7.475550764811557,10.036329030576836
163,13.583333333333334,5.124051497017547,5.6728631812057175,2.606501864335896,1.3927340981414638,3.801463283598837,5.594938900151809,7.458951857728649,10.071242543416147
164,13.666666666666666,5.124051497017569,5.67638935938015,2.610990625742857,1.3745878998404466,3.799285026255699,5.61090020725178,7.486946679141399,10.102616694147828
165,13.75,5.124051497017621,5.6885136883992224,2.615288594464827,1.3926587637417946,3.7805372366646828,5.607729983986798,7.524333046759358,10.096301314125876
166,13.833333333333334,5.124051497017599,5.690051665811894,2.624548503374348,1.4598465988990348,3.7766329903438387,5.612327677122299,7.53105909387553,10.08400927554678
167,13.916666666666666,5.124051497017594,5.6994412953359355,2.631703592904733,1.3884863290234968,3.797725092793684,5.636070816188631,7.5063658494395895,10.089066585362172
168,14.0,5.124051497017594,5.698497326779331,2.6364135188728404,1.3533429051301533,3.7896996708489143,5.623956970340846,7.515099229063464,10.102038397405604
169,14.083333333333334,5.124051497017545,5.704003866162266,2.639802140764635,1.3795583900974262,3.8087470185761316,5.651798685635602,7.515874966849593,10.141988042326544
170,14.166666666666666,5.124051497017514,5.708341637071084,2.6476860488676124,1.3748815560627843,3.8183924376797433,5.624695898744606,7.557750290351592,10.166923070736141
171,14.25,5.124051497017514,5.712280647129652,2.6478181529842293,1.36674825691405,3.813113590600997,5.658229190006662,7.558955235700888,10.150999439377314
172,14.333333333333334,5.124051497017519,5.71683551979769,2.651939046811985,1.4118440610174767,3.7995083286626388,5.657527869723519,7.538938037300954,10.199155990117937
173,14.416666666666666,5.124051497017568,5.719906725922336,2.6572811554906246,1.3962425481606195,3.803413180132437,5.67758068852864,7.558448692926881,10.145821086974625
174,14.5,5.124051497017594,5.721402937797534,2.667336513641494,1.3329459033147206,3.7891633389675836,5.676707118891258,7.572985977178609,10.139552375198663
175,14.583333333333334,5.124051497017572,5.730764835300181,2.6695824939945574,1.3560433465533976,3.8024127711761855,5.692623507630916,7.577609482739814,10.212231084414718
176,14.666666666666666,5.124051497017594,5.74048679344683,2.675947717878854,1.3245064567489984,3.8051065881020847,5.70296887858116,7.590839840226474,10.192276895079146
177,14.75,5.124051497017568,5.749593904627331,2.6784245929586215,1.426284919789927,3.787347505029459,5.692708048954275,7.583403953359076,10.271363981413982
178,14.833333333333334,5.159873776399575,5.77341778126934,2.6830365488205867,1.4568425820091193,3.8206918984647626,5.717747178954264,7.647126856222871,10.27203949358482
179,14.916666666666666,5.195696055781627,5.813210735599524,2.6868780769426577,1.4763680519948439,3.8418037806605074,5.773763320013005,7.684923524554502,10.278365359506346
180,15.0,5.231518335163736,5.858645279961397,2.6906142365740746,1.5219791230762514,3.9047282803657546,5.819940143413141,7.7141779072661425,10.363574562762757
181,15.083333333333334,5.26734061454577,5.897347642664695,2.6998866703946156,1.5426912373826784,3.9445253712029795,5.866959125593728,7.76573225545407,10.385378898808376
182,15.166666666666666,5.303162893927822,5.937996329735008,2.6972004347425504,1.5890061009148633,3.966351749133295,5.9180052271829044,7.813659487834753,10.470993797618434
183,15.25,5.303162893927822,5.962906552370579,2.701132386198572,1.5941539025452731,4.001436611053979,5.952217413669865,7.846687483445475,10.48750696987767
184,15.333333333333334,5.3031628939278,5.961684230372557,2.7018553218950543,1.6195703840094486,3.982996296426613,5.954856356339875,7.8491624968519265,10.499356911137323
185,15.416666666666666,5.303162893927822,5.964636677878475,2.7078475317463186,1.599769717952285,4.002950183214196,5.938980980080337,7.8607647026993295,10.486483875343234
186,15.5,5.303162893927795,5.972386450871316,2.710087121989644,1.5924669997106666,4.011408803993333,5.947043453160757,7.856944961086695,10.448747060586173
187,15.583333333333334,5.3031628939278,5.977858163788074,2.7095577590776276,1.5947104356650168,4.022253978267595,5.942004192457081,7.868752000439059,10.520199891703259
188,15.666666666666666,5.303162893927795,5.9826771583998335,2.7188168567915576,1.5896113732139627,4.021597555628629,5.956307464311203,7.868521257702356,10.560290016471061
189,15.75,5.303162893927849,5.980233971534324,2.723063582016868,1.5696912941053787,4.024103052682216,5.941130857190824,7.850621403614126,10.545872257674873
190,15.833333333333334,5.303162893927822,5.983811053726548,2.7235194294220255,1.5286637502462268,4.06259003654932,5.958000452419097,7.864479962094734,10.585049071202283
191,15.916666666666666,5.303162893927826,5.992500711115675,2.729788885862915,1.5435743625623122,4.089546181585411,5.988109527846991,7.873383031144401,10.58410914871252
192,16.0,5.303162893927876,5.9910042621134725,2.736623206081517,1.5189643961795607,4.081880314344784,5.990309474764379,7.87693515373206,10.588527166583049
193,16.083333333333332,5.303162893927876,5.989501332263705,2.742727014497295,1.5470113146962057,4.064621588798447,5.957195801622742,7.886330751029651,10.57991888665694
194,16.166666666666668,5.303162893927828,5.995928563788532,2.7546219368462452,1.5552140345966878,4.054845357926765,5.968151410328254,7.885951187019434,10.66439317503666
195,16.25,5.303162893927801,6.0023215898256925,2.7623978537301848,1.5368719311844226,4.027055943290439,5.99377119597279,7.893977157303459,10.644247315498221
196,16.333333333333332,5.303162893927819,6.006098061212483,2.7664984892923705,1.5562252577026707,4.047311265430569,5.995587063160815,7.938364030781885,10.595545239711377
197,16.416666666666668,5.303162893927828,6.009982905381853,2.7699065545756953,1.5125019973500644,4.018167934096208,5.98425009857725,7.954333581327816,10.646613255542853
198,16.5,5.303162893927801,6.0096980068585175,2.775699833425353,1.5100571987717477,3.9979503301540986,5.971568878985027,7.951757341721796,10.61504671627037
199,16.583333333333332,5.3031628939278725,6.017492697571264,2.780307136195262,1.531777869729672,4.005709694563793,5.988170157753608,7.946464438387302,10.663716107379209
200,16.666666666666668,5.303162893927881,6.02319089947851,2.7822878760121985,1.522670513028566,4.010334149619645,6.001601263813201,7.972474387576277,10.675538768237988
201,16.75,5.303162893927881,6.026900338806351,2.790395594011123,1.5083262405037836,4.016216564969688,5.9942440101151355,7.918784174802782,10.656634050431693
202,16.833333333333332,5.303162893927874,6.041165099035751,2.7938080200505673,1.5463715837238583,4.0419344292997375,6.006550103940905,7.9582330477956456,10.716000861028244
203,16.916666666666668,5.303162893927908,6.050838391272196,2.800412807800248,1.5253864791265634,4.050267165835183,6.009579773213423,7.999175969478824,10.730307909505257
204,17.0,5.303162893927856,6.055197291522398,2.8093766593250504,1.460265287898145,4.021821742045304,6.0295442646674635,7.995081434416326,10.785351451916872
205,17.083333333333332,5.303162893927874,6.0651623942466895,2.8087552918236796,1.4541626829252905,4.034256180477533,5.989526898193259,8.010882254236149,10.773605921638511
206,17.166666666666668,5.303162893927856,6.068776779309393,2.808098024912086,1.5175839788665275,4.059372818422326,6.012991771313021,8.021840283991825,10.777256650996232
207,17.25,5.303162893927802,6.072643189106282,2.807055744594738,1.4747478569750005,4.071749912986889,6.0190147749757905,8.006520746612772,10.751130002029797
208,17.333333333333332,5.303162893927793,6.071807886752385,2.812270748418209,1.5015103429456826,4.049201884967249,6.005871785718099,8.017346335421683,10.761577380867243
209,17.416666666666668,5.303162893927828,6.081857421125416,2.8172239002294535,1.4323106799892815,4.048121332120457,6.007082646757678,8.014652483363422,10.809404309006064
210,17.5,5.303162893927802,6.089066437911947,2.8237037022898033,1.4899775630363512,4.066684873361608,6.001474101806579,8.042660081747938,10.844810253617199
211,17.583333333333332,5.303162893927847,6.0966969682921786,2.829023652415431,1.4927607188624612,4.032179097205674,6.035891773839635,8.0562049146225,10.82531154338782
212,17.666666666666668,5.303162893927856,6.100796115858923,2.8381430187076835,1.4709673836260495,4.013863671798219,6.05585338200181,8.083372542394361,10.852207645803302
213,17.75,5.303162893927908,6.111366566070211,2.843348879795912,1.4766135045440922,4.0144718248213005,6.0754166182600615,8.06280777403058,10.882173798834122
214,17.833333333333332,5.3031628939278725,6.117556798237042,2.84779462802493,1.487769346031131,4.032504031997744,6.0635564293617605,8.070580323515193,10.857238592522604
215,17.916666666666668,5.303162893927881,6.125022076452278,2.8481602460142574,1.4651033975350232,4.052150946767242,6.06898842014894,8.103741428244575,10.901879544503345
216,18.0,5.303162893927881,6.134409634294904,2.853569385410352,1.5023810245222755,4.087036587287901,6.069045572880824,8.119660161999956,11.010945335831648
217,18.083333333333332,5.3031628939278725,6.136195345390522,2.858533392439859,1.4861157667872553,4.086241430621869,6.0645500146251825,8.110158276737245,10.973774161868194
218,18.166666666666668,5.303162893927801,6.145621405621765,2.8651174262088652,1.4795172119975137,4.061465002412059,6.064686304871064,8.131705996350332,10.98873389705899
219,18.25,5.303162893927854,6.152476625849135,2.8687013905046452,1.4408180567062976,4.071310328154426,6.066295609591147,8.152734231634762,10.949771716385182
220,18.333333333333332,5.303162893927847,6.154322359027536,2.8735721604907845,1.4502277002080592,4.0795904904008005,6.072314444960632,8.13586720314773,10.946646235534443
221,18.416666666666668,5.303162893927828,6.155693058381816,2.878588545363679,1.4447328870651432,4.07018657417986,6.0860940504438314,8.108785273089586,10.93068817329189
222,18.5,5.303162893927854,6.164368655733417,2.887005790554798,1.4228151215005425,4.074431498739183,6.080856547059018,8.171871522818188,11.046286801952213
