Month,Years,Deterministic_Total,MC_Mean_Total,MC_P05_Stable,MC_P25,MC_P50,MC_P75,MC_P95,Analytical_Expected,Analytical_P05_Stable,Bifurcation_Total,Bifurcation_Stable,Bifurcation_NonStable
149,12.416666666666666,74820.63463568801,76860.80142158076,41272.595285521726,57412.477844426794,72487.56756270172,92287.49004089553,128499.99615739692,74832.84465743456,35857.033357474036,135955.94513778944,135955.94513778944,0.0
150,12.5,73602.71153422195,75618.63625886632,40483.412014962705,56337.908898114714,71270.59683241,90816.78157272469,126715.72546944763,73614.8748295178,35095.566013587675,134620.5009898024,134620.5009898024,0.0
151,12.583333333333334,72407.5783688421,74400.07660327002,39721.561343422574,55262.54096458646,70028.67135325813,89303.45589828292,124761.03474077373,72419.69410920049,34352.30028163809,133298.95578184142,133298.95578184142,0.0
152,12.666666666666666,71234.74575463918,73203.76209593337,38924.28231493,54241.482592161585,68852.23254952994,87884.46359665747,123121.10924677178,71246.81314130625,33626.75306033728,131991.1541474671,131991.1541474671,0.0
153,12.75,70083.73628115268,72029.24780787462,38151.755794029865,53277.30571445937,67696.14540019,86505.3211368359,121396.73103956805,70095.75454521921,32918.45530538525,130696.94260793182,130696.94260793182,0.0
154,12.833333333333334,68954.08418172626,70875.96469138691,37383.52979583154,52280.4667871637,66573.48000116358,85257.59160431857,119747.62959566283,68966.05258213781,32226.95158557569,129416.16954704492,129416.16954704492,0.0
155,12.916666666666666,67845.33501306183,69742.8473219667,36615.9336803059,51317.597117392055,65439.113483392386,84006.4084733891,118250.77636399765,67857.2528344781,31551.799654753442,128148.68518640645,128148.68518640645,0.0
156,13.0,66757.04534462499,68630.6184576781,35885.82283913829,50349.57675416944,64342.27712057065,82696.46652759038,116540.00354007179,66768.91190765207,30892.570043955588,126894.34156100274,126894.34156100274,0.0
157,13.083333333333334,65688.78245756598,67538.39616541358,35201.80042526181,49465.850569810864,63335.16920429381,81437.23951920297,115063.81440939229,65700.59710418519,30248.845650135674,125652.99249515841,125652.99249515841,0.0
158,13.166666666666666,64640.1240528343,66465.5194925707,34480.84507539997,48544.20488599154,62254.58884888059,80205.60402343306,113405.07721769705,64651.88615248036,29620.221359455816,124424.49357883877,124424.49357883877,0.0
159,13.25,63610.65796817593,65412.04358958378,33821.07634866297,47721.81605841957,61229.94569934407,79019.84825633226,111913.40893281631,63622.36691400592,29006.30366931213,123208.70214429742,123208.70214429742,0.0
160,13.333333333333334,62599.9819037144,64377.17748176594,33145.584950434015,46870.12020671657,60204.65140389957,77842.54058872878,110487.59397176496,62611.63711402902,28406.710329746977,122005.47724306313,122005.47724306313,0.0
161,13.416666666666666,61607.70315582742,63361.101966123344,32460.149157582127,46023.270399042376,59186.33312338489,76724.6360409917,109067.93564476653,61619.30407333589,27821.06999351013,120814.67962326076,120814.67962326076,0.0
162,13.5,60633.43835904201,62363.30556054981,31850.29403639782,45187.25905931029,58181.14024329686,75526.02026673904,107689.54738217485,60644.98444616028,27249.02187693493,119636.17170726098,119636.17170726098,0.0
163,13.583333333333334,59676.813235680565,61383.70534401583,31253.459469873676,44371.250284422465,57255.207388432456,74432.34223640672,106247.40989237092,59688.303986876694,26690.215441455697,118469.8175696534,118469.8175696534,0.0
164,13.666666666666666,58737.462353000505,60421.78207095423,30658.538004539365,43621.21547893254,56283.60052391093,73320.87094934509,104901.7025659713,58748.897283763494,26144.31006770291,117315.4829155379,117315.4829155379,0.0
165,13.75,57815.02888757951,59476.503756333506,30093.763432681855,42857.27613269021,55373.75535532847,72301.61534583807,103588.28362055363,57826.4075353171,25610.974755971605,116173.03505912953,116173.03505912953,0.0
166,13.833333333333334,56909.16439670716,58548.46248105353,29570.669264328062,42100.96052383309,54514.22062483886,71221.19432019308,102283.79415581882,56920.48631955871,25089.8878304062,115042.34290267149,115042.34290267149,0.0
167,13.916666666666666,56019.52859655253,57636.68209265908,29021.836271162076,41375.18763495778,53631.43712254932,70144.86141093963,100988.328354379,56030.79337591773,24580.73665546215,113923.27691565154,113923.27691565154,0.0
168,14.0,55145.78914688571,56741.63779721049,28511.029937594867,40601.15286765006,52741.385878426554,69195.59488819707,99658.03929133838,55156.99638546261,24083.217358101494,112815.70911431724,112815.70911431724,0.0
169,14.083333333333334,54287.621442139054,55862.250774132954,27978.803390948404,39877.30126658151,51832.496035019896,68210.19864698674,98441.51645504685,54298.770763428605,23597.034561675024,111719.51304148491,111719.51304148491,0.0
170,14.166666666666666,53444.708408601706,54998.62529855982,27478.73415497461,39160.60011503541,50894.43148234562,67137.02421330326,97153.110406865,53455.79945646827,23121.901127900568,110634.56374663814,110634.56374663814,0.0
171,14.25,52616.74030754834,54150.175673498234,26959.806959292433,38461.066340100064,50057.94462402523,66192.9391884723,95809.3495497879,52627.77274484884,22657.537906837184,109560.73776631078,109560.73776631078,0.0
172,14.333333333333334,51803.4145441101,53316.641269200394,26454.871077385535,37805.14399307439,49226.95659915931,65133.17566290832,94607.40208033922,51814.38805366312,22203.673496403044,108497.91310475029,108497.91310475029,0.0
