Month,Years,SOFR_DF,FHLB_DF
215,17.916666666666668,0.3238522301018654,0.09861322221011184
216,18.0,0.3214681484390032,0.09679365815575418
217,18.083333333333332,0.3191016175133194,0.09500766782785741
218,18.166666666666668,0.3167525081227066,0.0932546317400639
219,18.25,0.31442069201619577,0.09153394183648238
220,18.333333333333332,0.31210604188695484,0.08984500128077817
221,18.416666666666668,0.30980843136533764,0.0881872242491555
222,18.5,0.3075277350119857,0.08656003572715942
223,18.583333333333332,0.3052638283109789,0.08496287131022687
224,18.666666666666668,0.3030165876630376,0.08339517700791797
225,18.75,0.3007858903787753,0.08185640905176003
226,18.833333333333332,0.29857161467199944,0.08034603370663611
227,18.916666666666668,0.2963736396530632,0.07886352708565461
228,19.0,0.29419184532226494,0.07740837496843472
229,19.083333333333332,0.292026112563297,0.0759800726227442
230,19.166666666666668,0.28987632313674244,0.07457812462942875
231,19.25,0.28774235967361955,0.07320204471057179
232,19.333333333333332,0.2856241056689743,0.07185135556082432
233,19.416666666666668,0.28352144547551916,0.07052558868184744
234,19.5,0.2814342642973202,0.06922428421981006
235,19.583333333333332,0.27936244818352873,0.06794699080588397
236,19.666666666666668,0.2773058840221605,0.06669326539968297
237,19.75,0.27526445953392065,0.06546267313559045
238,19.833333333333332,0.27323806326607314,0.06425478717192228
239,19.916666666666668,0.27122658458635635,0.06306918854287302
240,20.0,0.2692299136769428,0.06190546601319437
241,20.083333333333332,0.26673811811545717,
242,20.166666666666668,0.26426938479484735,
243,20.25,0.261823500267846,
244,20.333333333333332,0.2594002530626974,
245,20.416666666666668,0.256999433664874,
246,20.5,0.2546208344989623,
247,20.583333333333332,0.2522642499107147,
248,20.666666666666668,0.24992947614926964,
249,20.75,0.2476163113495347,
250,20.833333333333332,0.24532455551473328,
251,20.916666666666668,0.24305401049911288,
252,21.0,0.24080447999081392,
253,21.083333333333332,0.23857576949489562,
254,21.166666666666668,0.23636768631652055,
255,21.25,0.23418003954429423,
256,21.333333333333332,0.23201264003375838,
257,21.416666666666668,0.2298653003910379,
258,21.5,0.22773783495663877,
259,21.583333333333332,0.2256300597893955,
260,21.666666666666668,0.22354179265056778,
261,21.75,0.2214728529880843,
262,21.833333333333332,0.2194230619209316,
263,21.916666666666668,0.21739224222368853,
264,22.0,0.2153802183112031,
265,22.083333333333332,0.2133868162234111,
266,22.166666666666668,0.21141186361029585,
267,22.25,0.20945518971698673,
268,22.333333333333332,0.2075166253689953,
269,22.416666666666668,0.2055960029575888,
270,22.5,0.2036931564252988,
271,22.583333333333332,0.20180792125156322,
272,22.666666666666668,0.19994013443850234,
273,22.75,0.198089634496826,
274,22.833333333333332,0.19625626143187083,
275,22.916666666666668,0.19443985672976732,
276,23.0,0.19264026334373474,
277,23.083333333333332,0.19085732568050265,
278,23.166666666666668,0.18909088958685824,
279,23.25,0.1873408023363186,
280,23.333333333333332,0.18560691261592538,
281,23.416666666666668,0.1838890705131626,
282,23.5,0.18218712750299526,
283,23.583333333333332,0.18050093643502754,
284,23.666666666666668,0.17883035152078017,
285,23.75,0.1771752283210859,
286,23.833333333333332,0.17553542373360068,
287,23.916666666666668,0.1739107959804315,
288,24.0,0.172301204595878,
289,24.083333333333332,0.17070651041428786,
290,24.166666666666668,0.16912657555802424,
291,24.25,0.1675612634255454,
292,24.333333333333332,0.16601043867959345,
293,24.416666666666668,0.1644739672354935,
294,24.5,0.16295171624956065,
295,24.583333333333332,0.16144355410761402,
296,24.666666666666668,0.15994935041359748,
297,24.75,0.1584689759783059,
298,24.833333333333332,0.15700230280821473,
299,24.916666666666668,0.15554920409441436,
300,25.0,0.15410955420164582,
301,25.083333333333332,0.15268322865743836,
302,25.166666666666668,0.15127010414134748,
303,25.25,0.1498700584742929,
304,25.333333333333332,0.14848297060799454,
305,25.416666666666668,0.14710872061450683,
306,25.5,0.14574718967585004,
307,25.583333333333332,0.14439826007373655,
308,25.666666666666668,0.14306181517939337,
309,25.75,0.1417377394434785,
310,25.833333333333332,0.14042591838609012,
311,25.916666666666668,0.13912623858686876,
312,26.0,0.13783858767519133,
313,26.083333333333332,0.13656285432045487,
314,26.166666666666668,0.13529892822245132,
315,26.25,0.13404670010183087,
316,26.333333333333332,0.1328060616906537,
317,26.416666666666668,0.13157690572302866,
318,26.5,0.1303591259258399,
319,26.583333333333332,0.12915261700955755,
320,26.666666666666668,0.1279572746591349,
321,26.75,0.12677299552498927,
322,26.833333333333332,0.1255996772140661,
323,26.916666666666668,0.12443721828098635,
324,27.0,0.12328551821927534,
325,27.083333333333332,0.12214447745267291,
326,27.166666666666668,0.12101399732652401,
327,27.25,0.11989398009924922,
328,27.333333333333332,0.1187843289338938,
329,27.416666666666668,0.11768494788975506,
330,27.5,0.1165957419140876,
331,27.583333333333332,0.11551661683388471,
332,27.666666666666668,0.11444747934773628,
333,27.75,0.11338823701776211,
334,27.833333333333332,0.11233879826161934,
335,27.916666666666668,0.1112990723445846,
336,28.0,0.11026896937170882,
337,28.083333333333332,0.10924840028004495,
338,28.166666666666668,0.10823727683094751,
339,28.25,0.10723551160244364,
340,28.333333333333332,0.10624301798167443,
341,28.416666666666668,0.10525971015740625,
342,28.5,0.10428550311261175,
343,28.583333333333332,0.10332031261711906,
344,28.666666666666668,0.10236405522032925,
345,28.75,0.10141664824400137,
346,28.833333333333332,0.10047800977510375,
347,28.916666666666668,0.09954805865873206,
348,29.0,0.09862671449109255,
349,29.083333333333332,0.09771389761255019,
350,29.166666666666668,0.09680952910074139,
351,29.25,0.09591353076375046,
352,29.333333333333332,0.09502582513334897,
353,29.416666666666668,0.09414633545829776,
354,29.5,0.09327498569771127,
355,29.583333333333332,0.09241170051448273,
356,29.666666666666668,0.09155640526877074,
357,29.75,0.09070902601154583,
358,29.833333333333332,0.08986948947819655,
359,29.916666666666668,0.08903772308219544,
360,30.0,0.08821365490882291,
